Year,country,iso_code,population,gdp,energy_per_capita,Temperature anomaly,co2,co2_per_capita,co2_including_luc,land_use_change_co2,coal_co2,oil_co2,gas_co2,share_global_co2,temperature_change_from_co2,Continent
2001,Afghanistan,AFG,20284303.0,11021272927.0,179.89190673828125,0.8838558,1.0690979957580566,0.0527056790888309,1.9350111484527588,0.8659130930900574,0.0696159973740577,0.762112021446228,0.2088479995727539,0.0041610486805438,0.0005064791766926,Asia
2002,Afghanistan,AFG,21378123.0,18804871508.0,155.6954345703125,0.5210714,1.3410650491714478,0.0627307146787643,6.391009330749512,5.0499444007873535,0.0549600012600421,0.7291359901428223,0.5459359884262085,0.0051058367826044,0.0005093442741781,Asia
2003,Afghanistan,AFG,22733053.0,21074343420.0,174.55792236328125,-0.04455458,1.5596790313720703,0.0686084255576133,6.169210910797119,4.609531879425049,0.0916000008583068,0.9929440021514891,0.4653280079364776,0.0056402431800961,0.0005123379523865,Asia
2004,Afghanistan,AFG,23560656.0,22332570533.0,157.7575225830078,0.70334846,1.2372469902038574,0.0525132678449153,3.6361777782440186,2.398930788040161,0.0916000008583068,0.9086719751358032,0.2271679937839508,0.0043245228007435,0.0005145311006344,Asia
2005,Afghanistan,AFG,24404575.0,25397686814.0,205.46812438964844,-0.55804604,1.8895069360733032,0.0774242952466011,2.9825150966644287,1.0930079221725464,0.1062560006976127,1.4472800493240356,0.3297599852085113,0.0063836956396698,0.0005166644114069,Asia
2006,Afghanistan,AFG,25424100.0,28704399925.0,256.867431640625,0.9025186,2.159317970275879,0.0849319323897361,3.243788719177246,1.0844707489013672,0.1609439998865127,1.65699303150177,0.3292039930820465,0.0070579438470304,0.0005188647191971,Asia
2007,Afghanistan,AFG,25909852.0,34507529735.0,299.4335021972656,0.026847005,2.7999088764190674,0.1080634891986846,3.694804430007935,0.8948953747749329,0.7474560141563416,1.73307204246521,0.307776004076004,0.008888809941709,0.0005213082768023,Asia
2008,Afghanistan,AFG,26482631.0,36561043230.0,567.9215087890625,0.17958002,4.254489898681641,0.1606520861387252,4.978606700897217,0.724116325378418,1.0772160291671753,2.865247964859009,0.2967840135097503,0.0132746808230876,0.0005243378109298,Asia
2009,Afghanistan,AFG,27466102.0,44358722212.0,919.6119995117188,-0.18371193,6.3882317543029785,0.2325860410928726,7.0053229331970215,0.6170908808708191,1.5132319927215576,4.590991973876953,0.2711359858512878,0.0202717259526252,0.0005282538477331,Asia
2010,Afghanistan,AFG,28284088.0,47399425562.0,1139.9874267578125,0.88581735,8.364803314208984,0.295742392539978,8.602303504943848,0.2375004738569259,2.2460319995880127,5.833087921142578,0.2711359858512878,0.025106206536293,0.0005328904953785,Asia
2011,Afghanistan,AFG,29347708.0,53326336000.0,1410.376220703125,0.47087845,11.409623146057127,0.3887739181518554,11.61304759979248,0.2034252732992172,3.749475955963135,7.337684154510498,0.3078750073909759,0.0330905653536319,0.0005387953715398,Asia
2012,Afghanistan,AFG,30560036.0,59166900000.0,1276.867919921875,-0.90138716,9.731202125549316,0.31842902302742,9.933272361755373,0.2020695954561233,2.821280002593994,6.573215961456299,0.307776004076004,0.0278394371271133,0.0005438775988295,Asia
2013,Afghanistan,AFG,31622709.0,62993700000.0,1007.7965087890624,0.31294256,8.891447067260742,0.2811728417873382,8.948386192321777,0.0569385588169097,2.970278024673462,5.588956832885742,0.2966620028018951,0.0252055004239082,0.0005485769943334,Asia
2014,Afghanistan,AFG,32792528.0,64346106000.0,812.0818481445312,-0.23411898,8.697668075561523,0.2652332186698913,8.776041030883789,0.0783729627728462,3.238976001739502,5.158912181854248,0.2711359858512878,0.0245241709053516,0.0005532190552912,Asia
2015,Afghanistan,AFG,33831767.0,62783392000.0,914.9247436523438,0.44695863,9.384400367736816,0.2773842811584472,9.696866035461426,0.3124659359455108,2.43927001953125,6.621922969818115,0.2820180058479309,0.0265069641172885,0.0005582045414485,Asia
2016,Afghanistan,AFG,34700613.0,64372217488.0,809.0735473632812,1.2430344,8.605932235717773,0.2480051815509796,8.944814682006836,0.3388833701610565,2.420867919921875,5.790306091308594,0.3186320066452026,0.0243154671043157,0.0005628692451864,Asia
2017,Afghanistan,AFG,35688941.0,65169281649.0,1023.2138061523438,1.0041171,9.311054229736328,0.2608946561813354,14.564167976379396,5.253113269805908,2.893419981002808,6.072518825531006,0.3003300130367279,0.0258822925388813,0.0005691350670531,Asia
2018,Afghanistan,AFG,36743040.0,65996738862.0,1265.342041015625,1.2058221,10.191503524780272,0.2773723602294922,13.07367992401123,2.88217568397522,3.220655918121338,6.620848178863525,0.2931199967861175,0.0277440585196018,0.0005752361030317,Asia
2019,Afghanistan,AFG,37856125.0,73085701943.0,1244.489013671875,0.42566583,10.400110244750977,0.2747272849082947,20.062664031982425,9.662553787231444,3.273106098175049,6.8431010246276855,0.2455749958753585,0.0280427951365709,0.0005827735876664,Asia
2020,Afghanistan,AFG,39068977.0,71417706295.0,1200.7415771484375,-0.17106438,11.11862564086914,0.2845896482467651,16.71674156188965,5.598115921020508,3.634687900543213,7.269375801086426,0.153888002038002,0.031624536961317,0.0005899566458538,Asia
2021,Afghanistan,AFG,40000410.0,56638852656.0,1189.220458984375,1.4529027,9.868841171264648,0.2467184960842132,13.352206230163574,3.4833648204803467,2.993488073348999,6.701456069946289,0.1575520038604736,0.0267688650637865,0.0005960210692137,Asia
2022,Afghanistan,AFG,40578847.0,53303471617.0,1111.572509765625,1.223075,10.169889450073242,0.2506204545497894,21.54375267028809,11.373862266540527,3.4881279468536377,6.528477191925049,0.142658993601799,0.0270996335893869,0.0006032962701283,Asia
1980,Albania,ALB,2735424.0,9993752701.0,15280.11328125,-1.1118408,5.170836925506592,1.8903237581253047,7.99695348739624,2.8261165618896484,2.3229761123657227,1.5718560218811035,0.7731040120124817,0.0266403518617153,0.0001548856089357,Europe
1981,Albania,ALB,2790413.0,10248711161.0,14787.4130859375,-0.90578336,7.343090057373047,2.631542444229126,9.962154388427734,2.6190640926361084,2.6454079151153564,3.4954559803009038,0.8060799837112427,0.038893986493349,0.0001587721926625,Europe
1982,Albania,ALB,2846910.0,10517106662.0,14521.7998046875,-0.20829059,7.307607173919678,2.5668556690216064,9.678948402404783,2.371340751647949,2.87990403175354,3.143712043762207,0.8647040128707886,0.039016056805849,0.0001625698059797,Europe
1983,Albania,ALB,2905128.0,10795983352.0,14811.8154296875,-0.8191672,7.6308088302612305,2.626668691635132,10.09276008605957,2.461951494216919,3.103408098220825,3.129055976867676,0.97462397813797,0.0403708554804325,0.0001665798190515,Europe
1984,Albania,ALB,2964961.0,11080088527.0,14592.306640625,-0.578542,7.825902938842773,2.639462471008301,9.992793083190918,2.1668896675109863,3.4001920223236084,2.945856094360352,1.0442399978637695,0.0402210131287574,0.0001705819740891,Europe
1985,Albania,ALB,3026245.0,11371456744.0,14210.3466796875,-0.1712147,7.881539821624756,2.604395866394043,9.955877304077148,2.0743370056152344,3.722624063491821,2.7553279399871826,0.970960021018982,0.0391243137419223,0.0001745896151987,Europe
1986,Albania,ALB,3087658.0,11669745014.0,13516.7841796875,-0.30470762,8.058076858520508,2.609769821166992,9.995197296142578,1.9371200799942017,3.70796799659729,2.8689119815826416,1.0515680313110352,0.0394268482923507,0.000178604881512,Europe
